MSSV,MH1,MH2,MH3,MH4,MH5,MH6,MH7,MH8,MH9,MH10,MH11,MH12,MH13,MH14,MH15,MH16,MH17,MH18,DTB
18110115,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,8.33
18110116,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,9.16
18110117,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,5.31
18110118,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,7.78
18110119,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,8.18
18110120,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,9.91
18110121,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,6.45
18110122,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,9.98
18110123,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,5.1
18110124,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,7.32
18110125,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,6.16
18110126,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,8.65
18110127,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,8.72
18110128,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,8.99
18110129,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,5.63
18110130,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,5.49
18110131,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,7.03
18110132,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,5.5
18110133,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,9.6
18110134,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,7.4
18110135,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,6.45
18110136,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,7.23
18110137,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,6.29
18110138,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,5.06
18110139,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,8.1
18110140,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,6.99
18110141,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,5.62
18110142,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,6.55
18110143,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,9.64
18110144,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,9.69
18110145,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,6.05
18110146,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,5.76
18110147,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,5.06
18110148,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,8.58
18110149,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,6.8
18110150,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,7.85
18110151,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,6.9
18110152,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,9.97
18110153,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,9.99
18110154,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,6.93
18110155,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,8.7
18110156,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,5.45
18110157,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,9.53
18110158,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,9.04
18110159,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,6.04
18110160,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,6.23
18110161,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,8.11
18110162,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,5.36
18110163,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,5.42
18110164,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,5.32
18110165,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,8.83
18110166,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,6.72
18110167,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,7.27
18110168,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,7.89
18110169,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,6.93
18110170,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,8.68
18110171,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,6.96
18110172,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,9.54
18110173,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,6.61
18110174,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,8.18
18110175,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,5.5
18110176,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,9.91
18110177,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,6.49
18110178,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,9.64
18110179,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,5.94
18110180,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,5.49
18110181,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,7.47
18110182,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,8.52
18110183,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,8.72
18110184,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,7.87
18110185,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,9.97
18110186,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,8.42
18110187,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,7.48
18110188,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,9.73
18110189,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,7.32
18110190,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,5.36
18110191,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,5.07
18110192,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,8.18
18110193,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,6.42
18110194,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,8.38
18110195,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,6.33
18110196,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,9.17
18110197,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,8.15
18110198,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,9.41
18110199,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,5.63
18110200,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,6.65
18110201,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,9.54
18110202,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,8.65
18110203,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,7.42
18110204,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,8.57
18110205,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,7.79
18110206,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,9.6
18110207,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,9.18
18110208,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,7.78
18110209,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,5.09
18110210,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,8.72
18110211,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,7.45
18110212,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,7.48
18110213,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,9.02
18110214,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Data warehouse,6.47
18110215,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,8.44
18110216,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,9.86
18110217,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,8.72
